id,name,Pop,Pop/Km,PercWelsh,HigherEd,NEETSPerc
1,Isle of Anglesey,68900,97,62.828981,64,15
2,Gwynedd,117400,46,74.183234,63,18
3,Conwy,114800,102,39.656102,65,17
4,Denbighshire,95800,114,37.793371,68,18
5,Flintshire,155000,352,23.877419,71,13
6,Wrexham,135100,268,26.552299,75,17
7,Powys,133200,26,30.722788,61,13
8,Ceredigion,71500,40,57.689117,59,10
9,Pembrokeshire,123400,76,27.449568,62,17
10,Carmarthenshire,187900,79,50.990988,63,24
11,Swansea,238500,632,19.240427,67,15
12,Neath Port Talbot,142300,322,22.643929,73,24
13,Bridgend,145500,580,22.767243,69,21
14,Vale of Glamorgan,131800,398,23.879885,62,17
15,Cardiff,362400,2572,25.879846,68,18
16,Rhondda Cynon Taf,237700,560,19.774132,73,28
17,Merthyr Tydfil,58800,528,21.815114,75,28
18,Caerphilly,175900,634,24.603951,75,27
19,Blaenau Gwent,66900,615,14.51057,81,25
20,Torfaen,92300,734,17.553629,74,23
21,Monmouthshire,93000,110,17.345316,54,16
22,Newport,159600,838,22.407099,71,18
